NVHOST_AS_IOCTL_ALLOC_SPACE c0184106
NVHOST_AS_IOCTL_BIND_CHANNEL c0044101
NVHOST_AS_IOCTL_FREE_SPACE c0104103
NVHOST_AS_IOCTL_MAP_BUFFER c0184104
NVHOST_AS_IOCTL_UNMAP_BUFFER c0084105
NVHOST_IOCTL_CHANNEL_ALLOC_GPFIFO 40084864
NVHOST_IOCTL_CHANNEL_ALLOC_OBJ_CTX c010486c
NVHOST_IOCTL_CHANNEL_CYCLE_STATS c004486a
NVHOST_IOCTL_CHANNEL_FREE_OBJ_CTX 8008486d
NVHOST_IOCTL_CHANNEL_GET_CLK_RATE 80084809
NVHOST_IOCTL_CHANNEL_GET_MODMUTEX c0084817
NVHOST_IOCTL_CHANNEL_GET_MODMUTEXES 80044804
NVHOST_IOCTL_CHANNEL_GET_SYNCPOINT c0084810
NVHOST_IOCTL_CHANNEL_GET_SYNCPOINTS 80044802
NVHOST_IOCTL_CHANNEL_GET_TIMEDOUT 8004480c
NVHOST_IOCTL_CHANNEL_GET_WAITBASE c0084811
NVHOST_IOCTL_CHANNEL_GET_WAITBASES 80044803
NVHOST_IOCTL_CHANNEL_NULL_KICKOFF 80044806
NVHOST_IOCTL_CHANNEL_READ_3D_REG c0084808
NVHOST_IOCTL_CHANNEL_SET_CLK_RATE 4008480a
NVHOST_IOCTL_CHANNEL_SET_CTXSWITCH c0384819
NVHOST_IOCTL_CHANNEL_SET_ERROR_NOTIFIER c018486f
NVHOST_IOCTL_CHANNEL_SET_NVMAP_FD 40044805
NVHOST_IOCTL_CHANNEL_SET_PRIORITY 4004480d
NVHOST_IOCTL_CHANNEL_SET_TIMEOUT 4004480b
NVHOST_IOCTL_CHANNEL_SET_TIMEOUT_EX c0084812
NVHOST_IOCTL_CHANNEL_SUBMIT c078481a
NVHOST_IOCTL_CHANNEL_SUBMIT_GPFIFO c018486b
NVHOST_IOCTL_CHANNEL_WAIT c0184866
NVHOST_IOCTL_CHANNEL_ZCULL_BIND c010486e
NVHOST_IOCTL_CTRL_GET_VERSION 80044807
NVHOST_IOCTL_CTRL_MODULE_MUTEX c0084804
NVHOST_IOCTL_CTRL_MODULE_REGRDWR c020480c
NVHOST_IOCTL_CTRL_SYNC_FENCE_CREATE c018480b
NVHOST_IOCTL_CTRL_SYNCPT_INCR 40044802
NVHOST_IOCTL_CTRL_SYNCPT_READ c0084801
NVHOST_IOCTL_CTRL_SYNCPT_READ_MAX c0084808
NVHOST_IOCTL_CTRL_SYNCPT_WAIT 400c4803
NVHOST_IOCTL_CTRL_SYNCPT_WAITEX c0104806
NVHOST_IOCTL_CTRL_SYNCPT_WAITMEX c0204809
NVHOST_ISP_IOCTL_SET_EMC 40104901
NVHOST_VI_IOCTL_ENABLE_TPG 40045601
NVHOST_VI_IOCTL_SET_EMC_INFO 40045602
NVHOST32_AS_IOCTL_ALLOC_SPACE c0184102
NVHOST32_IOCTL_CHANNEL_SUBMIT c044480f
NVHOST32_IOCTL_CTRL_MODULE_REGRDWR c0184805
NVHOST32_IOCTL_CTRL_SYNC_FENCE_CREATE c020480a
NVMAP_IOC_ALLOC 40184e03
NVMAP_IOC_ALLOC_KIND 40184e64
NVMAP_IOC_CACHE 40184e0c
NVMAP_IOC_CACHE_LIST 40204e11
NVMAP_IOC_CLAIM c0104e01
NVMAP_IOC_CREATE c0104e00
NVMAP_IOC_FREE 00004e04
NVMAP_IOC_FROM_FD c0104e10
NVMAP_IOC_FROM_ID c0104e02
NVMAP_IOC_GET_FD c0104e0f
NVMAP_IOC_GET_ID c0104e0d
NVMAP_IOC_MMAP c0204e05
NVMAP_IOC_PARAM c0184e08
NVMAP_IOC_PIN_MULT c0184e0a
NVMAP_IOC_READ 40284e07
NVMAP_IOC_SHARE c0104e0e
NVMAP_IOC_UNPIN_MULT 40184e0b
NVMAP_IOC_WRITE 40284e06
